Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
500011,60056,PRODUCT 60056,3,2010-07-22 15:00:00,14.6,13117.0,United Kingdom
500011,90829,PRODUCT 90829,1,2010-07-22 15:00:00,17.02,,United Kingdom
500012,65391,PRODUCT 65391,1,2010-07-26 18:00:00,7.85,,United Kingdom
500012,99549,PRODUCT 99549,2,2010-07-26 18:00:00,2.45,12233.0,Germany
500012,72659,PRODUCT 72659,2,2010-07-26 18:00:00,1.33,12233.0,United Kingdom
500012,99017,PRODUCT 99017,3,2010-07-26 18:00:00,10.69,12233.0,Germany
500012,75562,PRODUCT 75562,3,2010-07-26 18:00:00,12.25,12233.0,United Kingdom
500012,78687,PRODUCT 78687,2,2010-07-26 18:00:00,8.64,12233.0,United Kingdom
500012,61096,PRODUCT 61096,3,2010-07-26 18:00:00,10.05,12233.0,United Kingdom
500013,56953,PRODUCT 56953,1,2010-07-09 10:00:00,12.39,13336.0,United Kingdom
500013,18804A,PRODUCT 18804A,2,2010-07-09 10:00:00,9.47,13336.0,United Kingdom
500013,39826,PRODUCT 39826,2,2010-07-09 10:00:00,8.99,13336.0,EIRE
500013,63174,PRODUCT 63174,1,2010-07-09 10:00:00,10.28,13336.0,France
500013,39217,PRODUCT 39217,1,2010-07-09 10:00:00,8.92,,United Kingdom
500014,57222,PRODUCT 57222,1,2010-09-09 12:00:00,4.82,,United Kingdom
500014,23308,PRODUCT 23308,2,2010-09-09 12:00:00,2.66,12648.0,United Kingdom
500014,35872,PRODUCT 35872,1,2010-09-09 12:00:00,5.83,12648.0,United Kingdom
500014,44621,PRODUCT 44621,1,2010-09-09 12:00:00,13.3,12648.0,Germany
500014,54533,PRODUCT 54533,1,2010-09-09 12:00:00,6.23,12648.0,United Kingdom
500014,63835,PRODUCT 63835,1,2010-09-09 12:00:00,5.39,12648.0,France
500015,85820,PRODUCT 85820,2,2010-01-23 17:00:00,17.8,12160.0,Germany
500015,65118,PRODUCT 65118,3,2010-01-23 17:00:00,9.19,12160.0,United Kingdom
500015,36368,PRODUCT 36368,2,2010-01-23 17:00:00,18.95,12160.0,United Kingdom
500016,22040A,PRODUCT 22040A,3,2010-08-22 16:00:00,8.52,13129.0,United Kingdom
500016,92731,PRODUCT 92731,1,2010-08-22 16:00:00,8.86,13129.0,United Kingdom
500016,18804A,PRODUCT 18804A,1,2010-08-22 16:00:00,4.77,,United Kingdom
500016,14657,PRODUCT 14657,1,2010-08-22 16:00:00,8.38,13129.0,United Kingdom
500017,17224,PRODUCT 17224,1,2010-04-19 10:00:00,9.55,12287.0,United Kingdom
500017,82041,PRODUCT 82041,2,2010-04-19 10:00:00,2.33,,United Kingdom
500017,39826,PRODUCT 39826,1,2010-04-19 10:00:00,11.19,12287.0,United Kingdom
500017,76148,PRODUCT 76148,3,2010-04-19 10:00:00,7.23,12287.0,United Kingdom
500017,35872,PRODUCT 35872,1,2010-04-19 10:00:00,4.7,12287.0,Germany
500018,12138,PRODUCT 12138,1,2010-07-11 15:00:00,10.74,,France
500018,39420,PRODUCT 39420,1,2010-07-11 15:00:00,8.67,13404.0,EIRE
500018,78778,PRODUCT 78778,1,2010-07-11 15:00:00,7.64,,United Kingdom
500018,93392,PRODUCT 93392,1,2010-07-11 15:00:00,4.35,13404.0,United Kingdom
500018,92731,PRODUCT 92731,1,2010-07-11 15:00:00,11.33,13404.0,United Kingdom
500019,16222,PRODUCT 16222,2,2010-03-20 16:00:00,7.66,12742.0,United Kingdom
500019,99549,PRODUCT 99549,5,2010-03-20 16:00:00,5.75,12742.0,United Kingdom
500019,16781,PRODUCT 16781,1,2010-03-20 16:00:00,10.07,12742.0,EIRE
500020,89921,PRODUCT 89921,4,2010-08-10 08:00:00,16.89,,United Kingdom
500020,90728,PRODUCT 90728,4,2010-08-10 08:00:00,11.2,,United Kingdom
500020,10271,PRODUCT 10271,4,2010-08-10 08:00:00,12.55,13076.0,France
500020,36368,PRODUCT 36368,4,2010-08-10 08:00:00,13.59,,France
500021,61494,PRODUCT 61494,5,2010-12-05 16:00:00,3.26,12468.0,United Kingdom
500021,55058,PRODUCT 55058,3,2010-12-05 16:00:00,16.65,12468.0,United Kingdom
500021,23308,PRODUCT 23308,3,2010-12-05 16:00:00,24.65,12468.0,United Kingdom
500021,18422,PRODUCT 18422,5,2010-12-05 16:00:00,7.15,12468.0,United Kingdom
500021,84471,PRODUCT 84471,3,2010-12-05 16:00:00,13.85,12468.0,United Kingdom
500021,47819,PRODUCT 47819,2,2010-12-05 16:00:00,9.23,12468.0,United Kingdom
500021,54533,PRODUCT 54533,4,2010-12-05 16:00:00,9.52,12468.0,United Kingdom
500022,92731,PRODUCT 92731,8,2010-05-31 15:00:00,22.4,12424.0,United Kingdom
500022,36307,PRODUCT 36307,11,2010-05-31 15:00:00,26.09,12424.0,United Kingdom
500022,78919,PRODUCT 78919,4,2010-05-31 15:00:00,11.24,12424.0,United Kingdom
500022,37686,PRODUCT 37686,4,2010-05-31 15:00:00,25.07,,United Kingdom
500022,85838,PRODUCT 85838,8,2010-05-31 15:00:00,32.53,12424.0,United Kingdom
500022,23308,PRODUCT 23308,6,2010-05-31 15:00:00,14.69,,EIRE
500022,42853,PRODUCT 42853,1,2010-05-31 15:00:00,44.24,12424.0,United Kingdom
500023,73385,PRODUCT 73385,2,2010-05-27 10:00:00,9.77,12148.0,United Kingdom
500023,95397,PRODUCT 95397,3,2010-05-27 10:00:00,7.46,,France
500023,28981,PRODUCT 28981,1,2010-05-27 10:00:00,4.66,12148.0,United Kingdom
500023,45763,PRODUCT 45763,1,2010-05-27 10:00:00,11.12,12148.0,Germany
500023,78687,PRODUCT 78687,3,2010-05-27 10:00:00,5.37,,United Kingdom
500023,96957,PRODUCT 96957,1,2010-05-27 10:00:00,6.91,12148.0,United Kingdom
500023,49251,PRODUCT 49251,1,2010-05-27 10:00:00,17.79,12148.0,United Kingdom
500024,33698,PRODUCT 33698,1,2010-07-24 15:00:00,8.75,12673.0,United Kingdom
500024,66604,PRODUCT 66604,2,2010-07-24 15:00:00,5.65,,United Kingdom
500024,86289A,PRODUCT 86289A,4,2010-07-24 15:00:00,13.47,12673.0,France
500024,28945,PRODUCT 28945,3,2010-07-24 15:00:00,13.46,,France
500024,71668,PRODUCT 71668,1,2010-07-24 15:00:00,10.4,,United Kingdom
500024,29318,PRODUCT 29318,2,2010-07-24 15:00:00,8.94,12673.0,United Kingdom
500024,40511,PRODUCT 40511,3,2010-07-24 15:00:00,16.7,12673.0,United Kingdom
500025,18913,PRODUCT 18913,4,2010-02-27 14:00:00,12.2,12332.0,United Kingdom
500025,28945,PRODUCT 28945,2,2010-02-27 14:00:00,14.61,12332.0,Germany
500026,13278,PRODUCT 13278,4,2010-10-29 11:00:00,7.11,12255.0,United Kingdom
500026,15284,PRODUCT 15284,2,2010-10-29 11:00:00,5.89,12255.0,United Kingdom
500026,48516,PRODUCT 48516,1,2010-10-29 11:00:00,13.33,12255.0,United Kingdom
500026,46294,PRODUCT 46294,4,2010-10-29 11:00:00,16.17,12255.0,United Kingdom
500026,17086,PRODUCT 17086,5,2010-10-29 11:00:00,3.52,12255.0,United Kingdom
500027,72847,PRODUCT 72847,3,2010-02-10 11:00:00,11.37,12473.0,United Kingdom
500027,78687,PRODUCT 78687,1,2010-02-10 11:00:00,17.61,12473.0,United Kingdom
500027,35925,PRODUCT 35925,1,2010-02-10 11:00:00,10.43,12473.0,United Kingdom
500027,63174,PRODUCT 63174,3,2010-02-10 11:00:00,12.55,12473.0,United Kingdom
500028,48361,PRODUCT 48361,5,2010-05-18 13:00:00,4.32,13206.0,United Kingdom
500028,51600,PRODUCT 51600,2,2010-05-18 13:00:00,16.93,13206.0,France
500028,58050,PRODUCT 58050,3,2010-05-18 13:00:00,12.57,13206.0,EIRE
500028,63174,PRODUCT 63174,2,2010-05-18 13:00:00,11.4,13206.0,Germany
500028,84391,PRODUCT 84391,2,2010-05-18 13:00:00,19.42,13206.0,United Kingdom
500029,25708,PRODUCT 25708,3,2010-06-17 14:00:00,18.64,13015.0,Germany
500029,18422,PRODUCT 18422,2,2010-06-17 14:00:00,23.47,13015.0,United Kingdom
500029,75108,PRODUCT 75108,2,2010-06-17 14:00:00,15.93,13015.0,United Kingdom
500029,87628,PRODUCT 87628,1,2010-06-17 14:00:00,21.44,13015.0,United Kingdom
500030,68355,PRODUCT 68355,1,2010-02-01 14:00:00,6.87,12789.0,United Kingdom
500030,12713,PRODUCT 12713,1,2010-02-01 14:00:00,6.19,12789.0,France
500030,78084,PRODUCT 78084,1,2010-02-01 14:00:00,6.3,12789.0,United Kingdom
500030,71668,PRODUCT 71668,1,2010-02-01 14:00:00,9.29,12789.0,United Kingdom
500030,93392,PRODUCT 93392,1,2010-02-01 14:00:00,10.35,12789.0,United Kingdom
500031,16222,PRODUCT 16222,2,2010-08-22 08:00:00,11.49,12990.0,United Kingdom
500031,75653,PRODUCT 75653,3,2010-08-22 08:00:00,7.77,12990.0,United Kingdom
500031,10717,PRODUCT 10717,2,2010-08-22 08:00:00,6.42,12990.0,United Kingdom
500032,25328,PRODUCT 25328,2,2010-10-20 11:00:00,7.66,13127.0,France
500032,13278,PRODUCT 13278,2,2010-10-20 11:00:00,9.88,,United Kingdom
500032,54533,PRODUCT 54533,6,2010-10-20 11:00:00,12.96,,United Kingdom
500033,27467,PRODUCT 27467,4,2010-05-18 08:00:00,7.94,13437.0,United Kingdom
500034,36307,PRODUCT 36307,1,2010-02-23 17:00:00,11.35,12299.0,United Kingdom
500034,M,PRODUCT M,1,2010-02-23 17:00:00,5.37,12299.0,United Kingdom
500034,99132,PRODUCT 99132,2,2010-02-23 17:00:00,5.87,,United Kingdom
500034,54819,PRODUCT 54819,1,2010-02-23 17:00:00,12.25,12299.0,EIRE
500034,72469,PRODUCT 72469,3,2010-02-23 17:00:00,10.5,,United Kingdom
500035,37847,PRODUCT 37847,9,2010-12-08 16:00:00,27.35,13383.0,Germany
500035,85065,PRODUCT 85065,3,2010-12-08 16:00:00,32.49,,United Kingdom
500035,75108,PRODUCT 75108,7,2010-12-08 16:00:00,12.51,13383.0,United Kingdom
500035,28806,PRODUCT 28806,7,2010-12-08 16:00:00,27.43,13383.0,France
500035,82041,PRODUCT 82041,7,2010-12-08 16:00:00,17.74,13383.0,United Kingdom
500036,37631,PRODUCT 37631,2,2010-03-26 08:00:00,11.41,12861.0,United Kingdom
C500037,65507,PRODUCT 65507,-7,2010-09-30 10:00:00,21.02,12215.0,United Kingdom
C500037,17493,PRODUCT 17493,-6,2010-09-30 10:00:00,27.39,12215.0,United Kingdom
C500037,56525,PRODUCT 56525,-4,2010-09-30 10:00:00,23.66,12215.0,United Kingdom
C500037,12682,PRODUCT 12682,-3,2010-09-30 10:00:00,10.43,,France
C500037,54665,PRODUCT 54665,-8,2010-09-30 10:00:00,30.55,12215.0,Germany
C500037,13662A,PRODUCT 13662A,-3,2010-09-30 10:00:00,18.8,,United Kingdom
500038,89782,PRODUCT 89782,2,2010-05-06 11:00:00,2.36,12008.0,United Kingdom
500038,68807,PRODUCT 68807,1,2010-05-06 11:00:00,4.84,12008.0,United Kingdom
500038,96957,PRODUCT 96957,1,2010-05-06 11:00:00,10.21,12008.0,United Kingdom
500039,72446A,PRODUCT 72446A,2,2010-11-02 11:00:00,6.33,12556.0,United Kingdom
500039,58963,PRODUCT 58963,4,2010-11-02 11:00:00,11.01,12556.0,United Kingdom
500039,85820,PRODUCT 85820,4,2010-11-02 11:00:00,10.53,,United Kingdom
500039,78596,PRODUCT 78596,3,2010-11-02 11:00:00,14.3,,United Kingdom
500040,55690,PRODUCT 55690,1,2010-01-12 14:00:00,14.24,12833.0,United Kingdom
500040,60416,PRODUCT 60416,5,2010-01-12 14:00:00,16.81,12833.0,United Kingdom
500040,20095,PRODUCT 20095,2,2010-01-12 14:00:00,13.22,12833.0,United Kingdom
500040,10271,PRODUCT 10271,1,2010-01-12 14:00:00,14.95,,United Kingdom
500040,62807,PRODUCT 62807,2,2010-01-12 14:00:00,16.17,12833.0,United Kingdom
500041,41646,PRODUCT 41646,2,2010-04-17 13:00:00,5.27,,United Kingdom
500041,81596,PRODUCT 81596,1,2010-04-17 13:00:00,5.3,12997.0,United Kingdom
500041,35925,PRODUCT 35925,1,2010-04-17 13:00:00,11.68,12997.0,France
500041,26263,PRODUCT 26263,1,2010-04-17 13:00:00,9.09,12997.0,United Kingdom
500042,84471,PRODUCT 84471,1,2010-07-10 14:00:00,13.16,,United Kingdom
500042,75508,PRODUCT 75508,1,2010-07-10 14:00:00,7.0,12418.0,United Kingdom
500042,25708,PRODUCT 25708,1,2010-07-10 14:00:00,7.43,,United Kingdom
500043,32576,PRODUCT 32576,2,2010-03-14 13:00:00,15.69,12095.0,United Kingdom
500043,26263,PRODUCT 26263,1,2010-03-14 13:00:00,16.84,12095.0,United Kingdom
500043,27830,PRODUCT 27830,3,2010-03-14 13:00:00,10.96,12095.0,Germany
500044,18842,PRODUCT 18842,3,2010-01-14 17:00:00,9.88,13284.0,United Kingdom
500044,34758,PRODUCT 34758,7,2010-01-14 17:00:00,16.68,13284.0,United Kingdom
500044,82562A,PRODUCT 82562A,1,2010-01-14 17:00:00,15.38,13284.0,France
500044,65391,PRODUCT 65391,3,2010-01-14 17:00:00,11.16,13284.0,EIRE
500045,16781,PRODUCT 16781,1,2010-01-11 10:00:00,2.86,12108.0,United Kingdom
500045,92731,PRODUCT 92731,2,2010-01-11 10:00:00,8.91,12108.0,United Kingdom
500045,84762,PRODUCT 84762,2,2010-01-11 10:00:00,7.16,12108.0,United Kingdom
500045,48361,PRODUCT 48361,1,2010-01-11 10:00:00,8.18,,United Kingdom
500045,84920,PRODUCT 84920,1,2010-01-11 10:00:00,4.55,12108.0,United Kingdom
500046,60580,PRODUCT 60580,2,2010-04-14 17:00:00,8.57,,Germany
500046,31609,PRODUCT 31609,2,2010-04-14 17:00:00,9.35,13023.0,United Kingdom
500046,41485,PRODUCT 41485,1,2010-04-14 17:00:00,6.01,13023.0,United Kingdom
500046,97040A,PRODUCT 97040A,1,2010-04-14 17:00:00,7.82,13023.0,United Kingdom
500046,21061,PRODUCT 21061,2,2010-04-14 17:00:00,3.9,13023.0,United Kingdom
500046,36943,PRODUCT 36943,1,2010-04-14 17:00:00,8.4,13023.0,United Kingdom
C500047,76239,PRODUCT 76239,-2,2010-08-21 08:00:00,7.37,,United Kingdom
C500047,59344,PRODUCT 59344,-1,2010-08-21 08:00:00,21.02,,United Kingdom
C500047,87628,PRODUCT 87628,-1,2010-08-21 08:00:00,9.6,12660.0,United Kingdom
C500047,12138,PRODUCT 12138,-1,2010-08-21 08:00:00,3.71,12660.0,United Kingdom
500048,56953,PRODUCT 56953,2,2010-05-17 14:00:00,9.28,12251.0,United Kingdom
500048,33834,PRODUCT 33834,1,2010-05-17 14:00:00,3.15,12251.0,United Kingdom
500048,87430,PRODUCT 87430,2,2010-05-17 14:00:00,13.35,12251.0,United Kingdom
500049,18842,PRODUCT 18842,1,2010-01-01 18:00:00,10.28,12778.0,United Kingdom
500049,18315,PRODUCT 18315,4,2010-01-01 18:00:00,12.66,,United Kingdom
500049,18842,PRODUCT 18842,1,2010-01-01 18:00:00,17.11,12778.0,United Kingdom
500049,23965,PRODUCT 23965,5,2010-01-01 18:00:00,14.52,12778.0,EIRE
500049,39235,PRODUCT 39235,2,2010-01-01 18:00:00,18.74,12778.0,United Kingdom
500049,36149,PRODUCT 36149,3,2010-01-01 18:00:00,8.87,12778.0,Germany
500049,77910,PRODUCT 77910,3,2010-01-01 18:00:00,21.51,12778.0,United Kingdom
500050,78596,PRODUCT 78596,1,2010-12-06 09:00:00,11.82,,United Kingdom
500051,53952,PRODUCT 53952,1,2010-10-17 14:00:00,4.98,12194.0,Germany
500051,66977,PRODUCT 66977,1,2010-10-17 14:00:00,3.79,12194.0,EIRE
500051,68355,PRODUCT 68355,1,2010-10-17 14:00:00,12.36,12194.0,United Kingdom
500052,87837,PRODUCT 87837,1,2010-02-23 13:00:00,49.77,13149.0,United Kingdom
500052,34723,PRODUCT 34723,15,2010-02-23 13:00:00,40.29,,EIRE
500052,64946,PRODUCT 64946,30,2010-02-23 13:00:00,53.99,13149.0,United Kingdom
500053,75108,PRODUCT 75108,3,2010-10-05 18:00:00,10.65,13213.0,United Kingdom
500053,87628,PRODUCT 87628,2,2010-10-05 18:00:00,17.18,13213.0,United Kingdom
500054,48516,PRODUCT 48516,2,2010-09-20 12:00:00,19.91,12879.0,United Kingdom
500054,41646,PRODUCT 41646,1,2010-09-20 12:00:00,14.45,,EIRE
500054,29318,PRODUCT 29318,2,2010-09-20 12:00:00,13.71,12879.0,United Kingdom
500054,58050,PRODUCT 58050,1,2010-09-20 12:00:00,15.15,,United Kingdom
500054,34723,PRODUCT 34723,1,2010-09-20 12:00:00,4.39,12879.0,United Kingdom
500055,39826,PRODUCT 39826,7,2010-07-08 14:00:00,38.07,12963.0,EIRE
500055,56525,PRODUCT 56525,4,2010-07-08 14:00:00,34.38,12963.0,United Kingdom
500055,31609,PRODUCT 31609,5,2010-07-08 14:00:00,28.52,12963.0,United Kingdom
500056,49934,PRODUCT 49934,1,2010-03-11 10:00:00,9.82,,United Kingdom
500056,48618,PRODUCT 48618,1,2010-03-11 10:00:00,10.97,12837.0,United Kingdom
500057,63174,PRODUCT 63174,1,2010-10-24 15:00:00,3.98,13462.0,Germany
500058,15065,PRODUCT 15065,3,2010-12-10 10:00:00,15.77,12496.0,Germany
500058,62807,PRODUCT 62807,1,2010-12-10 10:00:00,9.08,12496.0,Germany
500058,40511,PRODUCT 40511,3,2010-12-10 10:00:00,5.58,12496.0,United Kingdom
500059,39826,PRODUCT 39826,1,2010-05-19 09:00:00,8.65,12173.0,Germany
500059,95998,PRODUCT 95998,2,2010-05-19 09:00:00,13.76,,United Kingdom
500059,64946,PRODUCT 64946,1,2010-05-19 09:00:00,6.63,12173.0,United Kingdom
500059,15065,PRODUCT 15065,1,2010-05-19 09:00:00,15.74,12173.0,United Kingdom
500059,51253,PRODUCT 51253,1,2010-05-19 09:00:00,10.58,,United Kingdom
500059,11847,PRODUCT 11847,1,2010-05-19 09:00:00,10.06,,United Kingdom
500059,12138,PRODUCT 12138,2,2010-05-19 09:00:00,2.07,12173.0,United Kingdom
500060,33698,PRODUCT 33698,2,2010-08-29 11:00:00,17.05,13002.0,United Kingdom
500060,73677,PRODUCT 73677,4,2010-08-29 11:00:00,7.55,13002.0,United Kingdom
500061,16222,PRODUCT 16222,3,2010-08-03 13:00:00,7.16,12171.0,EIRE
500061,52987,PRODUCT 52987,3,2010-08-03 13:00:00,3.02,12171.0,France
500061,24017,PRODUCT 24017,3,2010-08-03 13:00:00,3.27,,EIRE
500061,33834,PRODUCT 33834,3,2010-08-03 13:00:00,8.17,12171.0,United Kingdom
500061,72077,PRODUCT 72077,2,2010-08-03 13:00:00,9.99,12171.0,United Kingdom
500061,29464,PRODUCT 29464,2,2010-08-03 13:00:00,5.1,12171.0,United Kingdom
500061,28806,PRODUCT 28806,1,2010-08-03 13:00:00,9.01,12171.0,United Kingdom
500062,13557,PRODUCT 13557,2,2010-06-19 12:00:00,9.69,12545.0,United Kingdom
500062,53743,PRODUCT 53743,2,2010-06-19 12:00:00,4.65,12545.0,United Kingdom
500062,98803,PRODUCT 98803,2,2010-06-19 12:00:00,5.97,12545.0,France
500062,95998,PRODUCT 95998,1,2010-06-19 12:00:00,8.86,12545.0,United Kingdom
500062,29077A,PRODUCT 29077A,2,2010-06-19 12:00:00,12.32,12545.0,EIRE
500063,65507,PRODUCT 65507,1,2010-06-28 17:00:00,6.9,,United Kingdom
500064,77547,PRODUCT 77547,2,2010-09-12 08:00:00,7.43,13029.0,United Kingdom
500064,23308,PRODUCT 23308,1,2010-09-12 08:00:00,10.14,,United Kingdom
500064,52329,PRODUCT 52329,2,2010-09-12 08:00:00,5.25,,United Kingdom
500064,65599,PRODUCT 65599,2,2010-09-12 08:00:00,8.15,13029.0,United Kingdom
500064,60003,PRODUCT 60003,3,2010-09-12 08:00:00,7.68,,United Kingdom
500065,89782,PRODUCT 89782,3,2010-12-27 12:00:00,10.2,13449.0,United Kingdom
500065,95049,PRODUCT 95049,1,2010-12-27 12:00:00,19.41,13449.0,United Kingdom
500065,89782,PRODUCT 89782,3,2010-12-27 12:00:00,3.8,13449.0,United Kingdom
500066,17493,PRODUCT 17493,1,2010-06-21 11:00:00,7.1,12483.0,United Kingdom
500066,20095,PRODUCT 20095,1,2010-06-21 11:00:00,6.41,12483.0,United Kingdom
500066,18627,PRODUCT 18627,1,2010-06-21 11:00:00,2.28,12483.0,United Kingdom
500066,87837,PRODUCT 87837,3,2010-06-21 11:00:00,7.79,12483.0,United Kingdom
500067,35925,PRODUCT 35925,7,2010-06-09 15:00:00,29.2,13204.0,France
500067,17224,PRODUCT 17224,5,2010-06-09 15:00:00,29.6,13204.0,United Kingdom
500068,60056,PRODUCT 60056,2,2010-05-15 17:00:00,6.16,,France
500069,17086,PRODUCT 17086,2,2010-10-25 12:00:00,4.91,12408.0,United Kingdom
500070,73339,PRODUCT 73339,2,2010-12-05 12:00:00,7.29,12016.0,United Kingdom
500070,16781,PRODUCT 16781,1,2010-12-05 12:00:00,8.51,,United Kingdom
500070,24845,PRODUCT 24845,1,2010-12-05 12:00:00,7.02,12016.0,United Kingdom
500070,19107,PRODUCT 19107,1,2010-12-05 12:00:00,5.66,12016.0,United Kingdom
500070,61096,PRODUCT 61096,2,2010-12-05 12:00:00,7.04,12016.0,United Kingdom
500070,77126,PRODUCT 77126,1,2010-12-05 12:00:00,6.95,12016.0,United Kingdom
500071,87430,PRODUCT 87430,1,2010-06-06 13:00:00,11.15,13469.0,United Kingdom
500071,37074,PRODUCT 37074,2,2010-06-06 13:00:00,11.34,13469.0,United Kingdom
500071,23511,PRODUCT 23511,3,2010-06-06 13:00:00,11.58,13469.0,United Kingdom
500071,66977,PRODUCT 66977,7,2010-06-06 13:00:00,11.55,,United Kingdom
500071,72469,PRODUCT 72469,1,2010-06-06 13:00:00,14.84,13469.0,United Kingdom
500071,24017,PRODUCT 24017,1,2010-06-06 13:00:00,3.01,13469.0,United Kingdom
500072,29077A,PRODUCT 29077A,1,2010-06-04 11:00:00,19.89,12824.0,France
500073,12682,PRODUCT 12682,1,2010-01-22 12:00:00,9.65,,United Kingdom
500074,60416,PRODUCT 60416,1,2010-02-27 10:00:00,8.95,,United Kingdom
500074,84407,PRODUCT 84407,2,2010-02-27 10:00:00,5.58,12622.0,United Kingdom
500074,60056,PRODUCT 60056,1,2010-02-27 10:00:00,7.16,12622.0,United Kingdom
500074,99777,PRODUCT 99777,2,2010-02-27 10:00:00,4.62,12622.0,EIRE
500074,95998,PRODUCT 95998,1,2010-02-27 10:00:00,13.73,12622.0,United Kingdom
C500075,36149,PRODUCT 36149,-2,2010-01-03 10:00:00,9.05,12399.0,United Kingdom
C500075,65599,PRODUCT 65599,-13,2010-01-03 10:00:00,38.53,12399.0,United Kingdom
C500075,15284,PRODUCT 15284,-5,2010-01-03 10:00:00,22.56,12399.0,United Kingdom
500076,78919,PRODUCT 78919,3,2010-03-04 10:00:00,15.2,12951.0,United Kingdom
500076,64946,PRODUCT 64946,1,2010-03-04 10:00:00,5.12,12951.0,Germany
500076,15975,PRODUCT 15975,4,2010-03-04 10:00:00,13.69,12951.0,United Kingdom
500076,54819,PRODUCT 54819,3,2010-03-04 10:00:00,14.25,12951.0,United Kingdom
500076,26263,PRODUCT 26263,1,2010-03-04 10:00:00,10.54,12951.0,United Kingdom
500076,12933,PRODUCT 12933,1,2010-03-04 10:00:00,18.28,12951.0,United Kingdom
500076,98931,PRODUCT 98931,6,2010-03-04 10:00:00,8.51,12951.0,United Kingdom
500077,85820,PRODUCT 85820,1,2010-05-03 12:00:00,8.98,13261.0,United Kingdom
500077,61096,PRODUCT 61096,2,2010-05-03 12:00:00,14.48,13261.0,United Kingdom
500078,29464,PRODUCT 29464,3,2010-09-27 15:00:00,13.05,12732.0,France
500078,21390,PRODUCT 21390,3,2010-09-27 15:00:00,13.42,12732.0,United Kingdom
500078,49303A,PRODUCT 49303A,2,2010-09-27 15:00:00,13.57,12732.0,United Kingdom
500078,63174,PRODUCT 63174,2,2010-09-27 15:00:00,8.13,12732.0,United Kingdom
500078,27981,PRODUCT 27981,3,2010-09-27 15:00:00,7.64,12732.0,United Kingdom
500078,87628,PRODUCT 87628,3,2010-09-27 15:00:00,8.69,,United Kingdom
